Units,Millimeter,,,,,
Category,ISO Metric profile,,,,,
Designation,Class,Minor Diameter Min,Minor Diameter Max,Major Diameter Min,Threads per Inch or Thread Pitch,Minor Diameter - Form Tapping
M0.25x0.075,6H,0.172,0.208,0.255,0.075,
M0.3x0.08,6H,0.217,0.254,0.306,0.08,
M0.3x0.09,6H,0.206,0.247,0.306,0.09,
M0.35x0.09,6H,0.256,0.297,0.356,0.09,
M0.4x0.1,6H,0.296,0.34,0.407,0.1,
M0.45x0.1,6H,0.346,0.39,0.457,0.1,
M0.5x0.125,6H,0.37,0.422,0.509,0.125,
M0.55x0.125,6H,0.42,0.472,0.559,0.125,
M0.6x0.15,6H,0.444,0.504,0.611,0.15,
M0.7x0.175,6H,0.518,0.586,0.713,0.175,
M0.8x0.2,6H,0.592,0.668,0.814,0.2,
M0.9x0.225,6H,0.666,0.75,0.916,0.225,
M1x0.25,6H,0.729,0.809,1,0.25,
M1x0.2,6H,0.783,0.858,1,0.2,
M1.1x0.25,6H,0.829,0.909,1.1,0.25,
M1.1x0.2,6H,0.883,0.958,1.1,0.2,
M1.2x0.25,6H,0.929,1.009,1.2,0.25,
M1.2x0.2,6H,0.983,1.058,1.2,0.2,
M1.4x0.3,6H,1.183,1.258,1.4,0.3,
M1.4x0.2,6H,1.183,1.258,1.4,0.2,
M1.6x0.35,6H,1.221,1.321,1.6,0.35,
M1.6x0.3,6H,1.275,1.36,1.6,0.3,
M1.6x0.2,6H,1.3834936,1.4584936,1.6,0.2,
M1.7x0.35,6H,1.321,1.421,1.7,0.35,
M1.8x0.35,6H,1.421,1.521,1.8,0.35,
M1.8x0.2,6H,1.583,1.658,1.8,0.2,
M2x0.4,6H,1.567,1.679,2,0.4,
M2x0.25,6H,1.729,1.809,2,0.25,
M2.2x0.45,6H,1.713,1.838,2.2,0.45,
M2.2x0.25,6H,1.929,2.009,2.2,0.25,
M2.3x0.45,6H,1.813,1.938,2.3,0.45,
M2.3x0.4,6H,1.867,1.979,2.3,0.4,
M2.5x0.45,6H,2.013,2.138,2.5,0.45,2.3
M2.5x0.35,6H,2.121,2.221,2.5,0.35,
